Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment
AA-10315,185,11,5563.56,1,2,4,7,Medium Value
AA-10375,20,15,1056.39,4,3,1,8,Medium Value
AA-10480,260,12,1790.5120000000002,1,2,2,5,Low Value
AA-10645,56,18,5086.9349999999995,3,4,4,11,High Value
AB-10015,416,6,886.156,1,1,1,3,Low Value
AB-10060,55,18,7755.62,3,4,4,11,High Value
AB-10105,42,20,14473.570999999998,3,4,4,11,High Value
AB-10150,42,12,966.71,3,2,1,6,Low Value
AB-10165,26,14,1113.838,4,3,1,8,Medium Value
AB-10255,167,14,914.5319999999999,2,3,1,6,Low Value
AB-10600,51,8,1515.862,3,1,2,6,Low Value
AC-10420,233,5,925.8,1,1,1,3,Low Value
AC-10450,12,9,5527.846,4,2,4,10,High Value
AC-10615,7,18,2537.6859999999997,4,4,3,11,High Value
AC-10660,283,6,657.316,1,1,1,3,Low Value
AD-10180,30,12,6106.88,4,2,4,10,High Value
AF-10870,42,16,2052.908,3,3,2,8,Medium Value
AF-10885,416,7,861.565,1,1,1,3,Low Value
AG-10270,279,14,2582.898,1,3,3,7,Medium Value
AG-10300,119,5,367.548,2,1,1,4,Low Value
AG-10330,9,9,660.972,4,2,1,7,Medium Value
AG-10390,115,8,200.945,2,1,1,4,Low Value
AG-10495,79,21,2356.855,2,4,3,9,Medium Value
AG-10525,846,9,1455.038,1,2,2,5,Low Value
AG-10675,98,15,3489.0396000000005,2,3,3,8,Medium Value
AG-10765,78,5,170.584,2,1,1,4,Low Value
AG-10900,97,21,4510.797,2,4,4,10,High Value
AH-10030,13,11,1744.7,4,2,2,8,Medium Value
AH-10075,35,20,3250.337,3,4,3,10,High Value
AH-10120,61,16,1735.5140000000001,3,3,2,8,Medium Value
AH-10195,56,8,1587.452,3,1,2,6,Low Value
AH-10210,7,13,4805.344,4,3,4,11,High Value
AH-10465,231,8,2495.3916,1,1,3,5,Low Value
AH-10585,22,5,738.504,4,1,1,6,Low Value
AH-10690,411,23,7888.294,1,4,4,9,Medium Value
AI-10855,14,18,4375.786,4,4,4,12,High Value
AJ-10780,76,15,4867.344,3,3,4,10,High Value
AJ-10795,167,21,4501.391,2,4,4,10,High Value
AJ-10945,86,10,1839.24,2,2,2,6,Low Value
AJ-10960,75,5,629.2479999999999,3,1,1,5,Low Value
AM-10360,29,12,814.012,4,2,1,7,Medium Value
AM-10705,163,22,5664.022,2,4,4,10,High Value
AO-10810,502,1,161.28,1,1,1,3,Low Value
AP-10720,42,19,1638.554,3,4,2,9,Medium Value
AP-10915,99,31,3323.556,2,4,3,9,Medium Value
AR-10345,112,5,1055.694,2,1,1,4,Low Value
AR-10405,126,7,2236.128,2,1,2,5,Low Value
AR-10510,15,7,264.86400000000003,4,1,1,6,Low Value
AR-10540,7,9,6608.448,4,2,4,10,High Value
AR-10570,535,2,88.15,1,1,1,3,Low Value
AR-10825,59,13,4523.336,3,3,4,10,High Value
AS-10045,89,10,3050.692,2,2,3,7,Medium Value
AS-10090,29,25,3255.31,4,4,3,11,High Value
AS-10135,42,3,58.82,3,1,1,5,Low Value
AS-10225,23,13,4260.784,4,3,4,11,High Value
AS-10240,193,13,584.6080000000001,1,3,1,5,Low Value
AS-10285,20,8,3214.236,4,1,3,8,Medium Value
AS-10630,93,12,833.398,2,2,1,5,Low Value
AT-10435,22,9,1171.814,4,2,2,8,Medium Value
AT-10735,14,16,3831.864,4,3,4,11,High Value
AW-10840,21,8,649.376,4,1,1,6,Low Value
AW-10930,47,16,2852.968,3,3,3,9,Medium Value
AY-10555,15,10,497.014,4,2,1,7,Medium Value
AZ-10750,161,12,1622.0179999999998,2,2,2,6,Low Value
BB-10990,106,8,744.3399999999999,2,1,1,4,Low Value
BB-11545,29,20,6765.728,4,4,4,12,High Value
BC-11125,203,18,2933.676,1,4,3,8,Medium Value
BD-11320,34,19,5718.521,3,4,4,11,High Value
BD-11500,36,10,4411.2429999999995,3,2,4,9,Medium Value
BD-11560,279,4,320.54,1,1,1,3,Low Value
BD-11605,98,20,3288.471,2,4,3,9,Medium Value
BD-11620,70,8,1538.11,3,1,2,6,Low Value
BD-11635,10,5,582.646,4,1,1,6,Low Value
BD-11725,94,10,1526.5,2,2,2,6,Low Value
BD-11770,328,10,658.466,1,2,1,4,Low Value
BE-11335,120,9,4204.676,2,2,4,8,Medium Value
BE-11410,99,5,2261.438,2,1,3,6,Low Value
BE-11455,255,13,1727.652,1,3,2,6,Low Value
BF-10975,92,13,599.798,2,3,1,6,Low Value
BF-11005,40,10,1333.88,3,2,2,7,Medium Value
BF-11020,75,21,2888.506,3,4,3,10,High Value
BF-11080,26,6,272.95,4,1,1,6,Low Value
BF-11170,17,27,5907.972,4,4,4,12,High Value
BF-11215,66,8,1585.162,3,1,2,6,Low Value
BF-11275,58,4,791.9899999999999,3,1,1,5,Low Value
BG-11035,29,12,2798.948,4,2,3,9,Medium Value
BG-11695,37,8,1874.172,3,1,2,6,Low Value
BG-11740,58,7,1006.356,3,1,1,5,Low Value
BH-11710,24,24,6255.351,4,4,4,12,High Value
BK-11260,78,16,659.1379999999999,2,3,1,6,Low Value
BM-11140,308,16,11789.63,1,3,4,8,Medium Value
BM-11575,101,10,808.162,2,2,1,5,Low Value
BM-11650,34,29,7294.185,3,4,4,11,High Value
BM-11785,219,14,1338.842,1,3,2,6,Low Value
BN-11470,25,6,265.296,4,1,1,6,Low Value
BN-11515,10,17,1459.344,4,4,2,10,High Value
BO-11350,138,12,2682.728,2,2,3,7,Medium Value
BO-11425,76,2,130.83,3,1,1,5,Low Value
BP-11050,84,7,983.42,2,1,1,4,Low Value
BP-11095,18,20,2442.044,4,4,3,11,High Value
BP-11155,90,11,1697.8609999999999,2,2,2,6,Low Value
BP-11185,2,18,3675.861,4,4,3,11,High Value
BP-11230,40,6,1181.49,3,1,2,6,Low Value
BP-11290,13,16,2475.157,4,3,3,10,High Value
BS-11365,559,9,10501.653,1,2,4,7,Medium Value
BS-11380,29,13,3887.834,4,3,4,11,High Value
BS-11590,36,10,2454.928,3,2,3,8,Medium Value
BS-11665,583,11,3288.1099999999997,1,2,3,6,Low Value
BS-11755,2,14,2562.382,4,3,3,10,High Value
BS-11800,266,8,949.4300000000001,1,1,1,3,Low Value
BT-11305,337,9,2567.656,1,2,3,6,Low Value
BT-11395,303,10,2186.6130000000003,1,2,2,5,Low Value
BT-11440,561,7,603.876,1,1,1,3,Low Value
BT-11485,660,3,415.19599999999997,1,1,1,3,Low Value
BT-11530,92,10,2684.4919999999997,2,2,3,7,Medium Value
BT-11680,21,20,3196.752,4,4,3,11,High Value
BV-11245,335,14,1523.2730000000001,1,3,2,6,Low Value
BW-11065,213,3,385.516,1,1,1,3,Low Value
BW-11110,122,17,4750.358,2,4,4,10,High Value
BW-11200,204,10,1738.406,1,2,2,5,Low Value
CA-11965,97,10,3789.7228,2,2,4,8,Medium Value
CA-12055,402,10,1679.7240000000002,1,2,2,5,Low Value
CA-12265,57,17,2648.2872,3,4,3,10,High Value
CA-12310,14,11,1421.954,4,2,2,8,Medium Value
CA-12775,121,17,3041.566,2,4,3,9,Medium Value
CB-12025,48,26,6076.139,3,4,4,11,High Value
CB-12415,27,12,1949.2,4,2,2,8,Medium Value
CB-12535,198,19,4246.4555,1,4,4,9,Medium Value
CC-12100,458,13,1770.945,1,3,2,6,Low Value
CC-12145,107,11,2471.65,2,2,3,7,Medium Value
CC-12220,21,22,3913.418,4,4,4,12,High Value
CC-12370,44,11,12129.072000000002,3,2,4,9,Medium Value
CC-12430,1,19,2870.05,4,4,3,11,High Value
CC-12475,40,13,1659.438,3,3,2,8,Medium Value
CC-12550,28,4,113.832,4,1,1,6,Low Value
CC-12610,35,12,2540.631,3,2,3,8,Medium Value
CC-12670,30,14,2269.7015,4,3,3,10,High Value
CC-12685,800,12,2854.1150000000002,1,3,3,7,Medium Value
CD-11920,41,9,2033.968,3,2,2,7,Medium Value
CD-11980,55,6,639.766,3,1,1,5,Low Value
CD-12280,43,13,1205.584,3,3,2,8,Medium Value
CD-12790,400,15,1860.732,1,3,2,6,Low Value
CG-12040,50,9,904.4680000000001,3,2,1,6,Low Value
CG-12520,339,5,1148.7800000000002,1,1,2,4,Low Value
CH-12070,692,4,1537.236,1,1,2,4,Low Value
CJ-11875,366,1,16.52,1,1,1,3,Low Value
CJ-12010,190,20,11164.974,1,4,4,9,Medium Value
CK-12205,40,32,3154.855,3,4,3,10,High Value
CK-12325,121,12,2945.321,2,3,3,8,Medium Value
CK-12595,44,25,2372.75,3,4,3,10,High Value
CK-12760,83,14,1582.109,2,3,2,7,Medium Value
CL-11890,107,7,1262.0140000000001,2,1,2,5,Low Value
CL-12565,285,28,10880.546,1,4,4,9,Medium Value
CL-12700,106,8,2353.586,2,1,3,6,Low Value
CM-11815,132,10,1673.888,2,2,2,6,Low Value
CM-11935,709,4,565.392,1,1,1,3,Low Value
CM-12115,9,7,1661.6100000000001,4,1,2,7,Medium Value
CM-12160,27,7,2533.314,4,1,3,8,Medium Value
CM-12190,9,7,1475.144,4,1,2,7,Medium Value
CM-12235,386,8,2305.712,1,1,3,5,Low Value
CM-12385,38,10,8954.019999999999,3,2,4,9,Medium Value
CM-12445,437,9,287.99,1,2,1,4,Low Value
CM-12655,28,10,6339.5576,4,2,4,10,High Value
CM-12715,1036,13,3984.4524,1,3,4,8,Medium Value
CP-12085,83,14,5402.254,2,3,4,9,Medium Value
CP-12340,161,15,5888.275,2,3,4,9,Medium Value
CR-12580,58,6,2148.852,3,1,2,6,Low Value
CR-12625,471,4,475.9,1,1,1,3,Low Value
CR-12730,79,6,1600.55,2,1,2,5,Low Value
CR-12820,86,7,1397.8724,2,1,2,5,Low Value
CS-11845,92,8,1278.954,2,1,2,5,Low Value
CS-11860,163,7,537.632,2,1,1,4,Low Value
CS-11950,26,22,3036.547,4,4,3,11,High Value
CS-12130,490,7,884.64,1,1,1,3,Low Value
CS-12175,233,8,844.4580000000001,1,1,1,3,Low Value
CS-12250,27,28,2754.216,4,4,3,11,High Value
CS-12355,7,22,3202.1620000000003,4,4,3,11,High Value
CS-12400,3,14,3651.8585000000003,4,3,3,10,High Value
CS-12460,28,6,550.644,4,1,1,6,Low Value
CS-12490,425,9,1077.2285,1,2,1,4,Low Value
CS-12505,59,9,5690.054999999999,3,2,4,9,Medium Value
CT-11995,97,18,3241.898,2,4,3,9,Medium Value
CV-12295,255,13,2830.6279999999997,1,3,3,7,Medium Value
CV-12805,6,19,2370.3136,4,4,3,11,High Value
CW-11905,23,11,1136.592,4,2,1,7,Medium Value
CY-12745,61,11,2900.026,3,2,3,8,Medium Value
Co-12640,550,8,1300.076,1,1,2,4,Low Value
DA-13450,353,8,156.76,1,1,1,3,Low Value
DB-12910,22,12,2171.599,4,3,2,9,Medium Value
DB-12970,242,14,2839.2272,1,3,3,7,Medium Value
DB-13060,17,13,4531.646,4,3,4,11,High Value
DB-13120,49,14,2973.094,3,3,3,9,Medium Value
DB-13210,10,21,2332.577,4,4,3,11,High Value
DB-13270,54,13,4655.897,3,3,4,10,High Value
DB-13360,265,6,1081.466,1,1,1,3,Low Value
DB-13405,188,14,1711.692,1,3,2,6,Low Value
DB-13555,108,14,3908.8028,2,3,4,9,Medium Value
DB-13615,34,11,1989.05,3,2,2,7,Medium Value
DB-13660,13,10,1155.202,4,2,2,8,Medium Value
DC-12850,38,18,3336.168,3,4,3,10,High Value
DC-13285,24,7,1174.618,4,1,2,7,Medium Value
DD-13570,42,9,269.542,3,2,1,6,Low Value
DE-13255,720,9,2550.874,1,2,3,6,Low Value
DF-13135,701,6,2390.534,1,1,3,5,Low Value
DG-13300,33,8,3195.818,3,1,3,7,Medium Value
DH-13075,278,23,4932.872,1,4,4,9,Medium Value
DH-13675,777,11,1043.096,1,2,1,4,Low Value
DJ-13420,638,5,2012.52,1,1,2,4,Low Value
DJ-13510,49,13,2501.6879999999996,3,3,3,9,Medium Value
DJ-13630,13,8,3356.398,4,1,3,8,Medium Value
DK-12835,22,27,3256.48,4,4,3,11,High Value
DK-12895,46,15,4282.176,3,3,4,10,High Value
DK-12985,8,8,1687.04,4,1,2,7,Medium Value
DK-13090,43,13,2650.557,3,3,3,9,Medium Value
DK-13150,11,5,797.832,4,1,1,6,Low Value
DK-13225,11,19,4802.394,4,4,4,12,High Value
DK-13375,20,23,3318.486,4,4,3,11,High Value
DL-12865,101,14,1503.112,2,3,2,7,Medium Value
DL-12925,58,14,3272.2,3,3,3,9,Medium Value
DL-13315,23,17,1458.258,4,4,2,10,High Value
DL-13330,58,8,585.02,3,1,1,5,Low Value
DL-13495,77,12,3539.322,2,3,3,8,Medium Value
DM-12955,115,9,1322.034,2,2,2,6,Low Value
DM-13015,58,20,6345.103,3,4,4,11,High Value
DM-13345,23,13,4074.4719999999998,4,3,4,11,High Value
DM-13525,482,10,1376.792,1,2,2,5,Low Value
DN-13690,218,11,2139.79,1,2,2,5,Low Value
DO-13435,134,13,1300.0315,2,3,2,7,Medium Value
DO-13645,27,11,1267.316,4,2,2,8,Medium Value
DP-13000,127,17,1050.636,2,4,1,7,Medium Value
DP-13105,7,14,2215.002,4,3,2,9,Medium Value
DP-13165,813,4,1058.616,1,1,1,3,Low Value
DP-13390,359,14,5480.723999999999,1,3,4,8,Medium Value
DR-12880,4,24,6528.034000000001,4,4,4,12,High Value
DR-12940,51,13,8350.868,3,3,4,10,High Value
DS-13030,94,19,1762.213,2,4,2,8,Medium Value
DS-13180,24,20,2881.8128,4,4,3,11,High Value
DV-13045,20,9,1119.483,4,2,1,7,Medium Value
DV-13465,30,15,3341.587,4,3,3,10,High Value
DW-13195,70,9,1080.751,3,2,1,6,Low Value
DW-13480,218,11,5271.628,1,2,4,7,Medium Value
DW-13540,99,9,344.08,2,2,1,5,Low Value
DW-13585,243,10,1204.854,1,2,2,5,Low Value
Dl-13600,120,6,755.602,2,1,1,4,Low Value
Dp-13240,85,29,7198.7609999999995,2,4,4,10,High Value
EA-14035,153,25,2846.705,2,4,3,9,Medium Value
EB-13705,49,12,3644.978,3,3,3,9,Medium Value
EB-13750,36,20,3236.314,3,4,3,10,High Value
EB-13840,91,8,4358.128,2,1,4,7,Medium Value
EB-13870,101,11,2767.219,2,2,3,7,Medium Value
EB-13930,162,7,944.6000000000001,2,1,1,4,Low Value
EB-13975,1,6,1643.255,4,1,2,7,Medium Value
EB-14110,114,11,3071.126,2,2,3,7,Medium Value
EB-14170,83,7,1186.326,2,1,2,5,Low Value
EC-14050,54,7,461.914,3,1,1,5,Low Value
ED-13885,136,14,3484.92,2,3,3,8,Medium Value
EG-13900,23,9,1832.02,4,2,2,8,Medium Value
EH-13765,136,32,10310.880000000001,2,4,4,10,High Value
EH-13945,218,17,684.1709999999999,1,4,1,6,Low Value
EH-13990,406,8,825.9499999999999,1,1,1,3,Low Value
EH-14005,3,11,1219.53,4,2,2,8,Medium Value
EH-14125,153,18,3082.653,2,4,3,9,Medium Value
EH-14185,106,8,923.884,2,1,1,4,Low Value
EJ-13720,303,8,2162.174,1,1,2,4,Low Value
EJ-14155,58,8,2656.691,3,1,3,7,Medium Value
EK-13795,45,4,1303.478,3,1,2,6,Low Value
EL-13735,78,2,124.28,2,1,1,4,Low Value
EM-13810,133,7,2567.0099999999998,2,1,3,6,Low Value
EM-13825,56,16,2339.598,3,3,3,9,Medium Value
EM-13960,152,6,933.704,2,1,1,4,Low Value
EM-14065,48,6,228.99,3,1,1,5,Low Value
EM-14095,114,10,1041.0420000000001,2,2,1,5,Low Value
EM-14140,49,21,4588.436000000001,3,4,4,11,High Value
EM-14200,159,4,366.822,2,1,1,4,Low Value
EN-13780,288,9,2199.366,1,2,2,5,Low Value
EP-13915,13,31,5478.0608,4,4,4,12,High Value
ER-13855,422,5,1245.788,1,1,2,4,Low Value
ES-14020,41,8,3510.4579999999996,3,1,3,7,Medium Value
ES-14080,29,20,4657.924,4,4,4,12,High Value
FA-14230,98,17,2984.054,2,4,3,9,Medium Value
FC-14245,71,14,3418.742,3,3,3,9,Medium Value
FC-14335,185,10,3889.366,1,2,4,7,Medium Value
FG-14260,35,11,1383.144,3,2,2,7,Medium Value
FH-14275,38,21,4256.272,3,4,4,11,High Value
FH-14350,213,14,2271.284,1,3,3,7,Medium Value
FH-14365,6,13,6987.196,4,3,4,11,High Value
FM-14215,8,15,2456.638,4,3,3,10,High Value
FM-14290,37,20,3736.198,3,4,3,10,High Value
FM-14380,146,14,2523.266,2,3,3,8,Medium Value
FO-14305,39,15,2678.438,3,3,3,9,Medium Value
FP-14320,24,14,4046.746,4,3,4,11,High Value
FW-14395,363,3,79.75,1,1,1,3,Low Value
GA-14515,150,14,3919.7760000000003,2,3,4,9,Medium Value
GA-14725,6,22,1398.382,4,4,2,10,High Value
GB-14530,63,20,1568.44,3,4,2,9,Medium Value
GB-14575,14,16,4716.288,4,3,4,11,High Value
GD-14590,6,6,1888.07,4,1,2,7,Medium Value
GG-14650,44,24,2224.0,3,4,2,9,Medium Value
GH-14410,76,17,2819.4669999999996,3,4,3,10,High Value
GH-14425,51,10,4172.8460000000005,3,2,4,9,Medium Value
GH-14485,388,3,1361.2440000000001,1,1,2,4,Low Value
GH-14665,3,3,146.94080000000002,4,1,1,6,Low Value
GK-14620,113,14,6497.27,2,3,4,9,Medium Value
GM-14440,84,11,3582.8199999999997,2,2,3,7,Medium Value
GM-14455,17,12,3078.624,4,3,3,10,High Value
GM-14500,107,13,1255.682,2,3,2,7,Medium Value
GM-14680,153,11,3163.628,2,2,3,7,Medium Value
GM-14695,118,11,6049.966,2,2,4,8,Medium Value
GP-14740,766,5,236.53,1,1,1,3,Low Value
GR-14560,1136,5,1284.38,1,1,2,4,Low Value
GT-14635,57,6,9351.212,3,1,4,8,Medium Value
GT-14710,37,29,11820.119999999999,3,4,4,11,High Value
GT-14755,35,7,226.436,3,1,1,5,Low Value
GW-14605,29,9,2189.019,4,2,2,8,Medium Value
GZ-14470,8,14,4355.150000000001,4,3,4,11,High Value
GZ-14545,158,5,2454.6220000000003,2,1,3,6,Low Value
HA-14905,70,10,2163.3,3,2,2,7,Medium Value
HA-14920,21,18,2584.158,4,4,3,11,High Value
HD-14785,770,7,251.36,1,1,1,3,Low Value
HE-14800,13,11,883.5319999999999,4,2,1,7,Medium Value
HF-14995,22,19,2533.1639999999998,4,4,3,11,High Value
HG-14845,55,10,785.628,3,2,1,6,Low Value
HG-14965,24,17,3247.642,4,4,3,11,High Value
HG-15025,7,11,3690.284,4,2,3,9,Medium Value
HH-15010,73,6,218.668,3,1,1,5,Low Value
HJ-14875,127,6,358.1,2,1,1,4,Low Value
HK-14890,152,15,4877.784,2,3,4,9,Medium Value
HL-15040,44,11,12873.297999999999,3,2,4,9,Medium Value
HM-14860,3,20,8236.7648,4,4,4,12,High Value
HM-14980,248,7,736.276,1,1,1,3,Low Value
HP-14815,31,10,1990.314,4,2,2,8,Medium Value
HR-14770,14,13,1299.288,4,3,2,9,Medium Value
HR-14830,160,14,5248.787,2,3,4,9,Medium Value
HW-14935,118,20,9300.254,2,4,4,10,High Value
HZ-14950,36,6,886.52,3,1,1,5,Low Value
IG-15085,72,7,744.574,3,1,1,5,Low Value
IL-15100,143,14,5040.736,2,3,4,9,Medium Value
IM-15055,410,4,2872.63,1,1,3,5,Low Value
IM-15070,391,21,4930.474,1,4,4,9,Medium Value
JA-15970,93,24,6491.026,2,4,4,10,High Value
JB-15400,8,16,1791.605,4,3,2,9,Medium Value
JB-15925,738,8,900.552,1,1,1,3,Low Value
JB-16000,44,7,644.1188,3,1,1,5,Low Value
JB-16045,8,9,2518.115,4,2,3,9,Medium Value
JC-15340,115,4,71.263,2,1,1,4,Low Value
JC-15385,176,4,1058.108,2,1,1,4,Low Value
JC-15775,159,16,2772.055,2,3,3,8,Medium Value
JC-16105,58,9,858.576,3,2,1,6,Low Value
JD-15790,118,7,2152.352,2,1,2,5,Low Value
JD-15895,395,32,7610.8640000000005,1,4,4,9,Medium Value
JD-16015,113,11,385.43,2,2,1,5,Low Value
JD-16060,301,6,695.442,1,1,1,3,Low Value
JD-16150,42,17,8828.0305,3,4,4,11,High Value
JE-15475,194,13,1388.682,1,3,2,6,Low Value
JE-15610,49,20,7754.976,3,4,4,11,High Value
JE-15715,47,22,8697.842999999999,3,4,4,11,High Value
JE-15745,52,23,6760.8150000000005,3,4,4,11,High Value
JE-16165,21,7,2697.248,4,1,3,8,Medium Value
JF-15190,66,19,2279.5860000000002,3,4,3,10,High Value
JF-15295,226,14,955.124,1,3,1,5,Low Value
JF-15355,106,16,1911.844,2,3,2,7,Medium Value
JF-15415,3,14,2371.448,4,3,3,10,High Value
JF-15490,122,15,1082.918,2,3,1,6,Low Value
JF-15565,55,16,4198.332,3,3,4,10,High Value
JG-15115,759,7,2358.676,1,1,3,5,Low Value
JG-15160,2,18,6366.392,4,4,4,12,High Value
JG-15310,3,11,2240.58,4,2,2,8,Medium Value
JG-15805,224,9,1507.018,1,2,2,5,Low Value
JH-15430,6,7,309.281,4,1,1,6,Low Value
JH-15820,175,8,528.91,2,2,1,5,Low Value
JH-15910,42,9,959.477,3,2,1,6,Low Value
JH-15985,30,14,7954.9980000000005,4,3,4,11,High Value
JH-16180,405,5,2256.3940000000002,1,1,2,4,Low Value
JJ-15445,484,6,709.178,1,1,1,3,Low Value
JJ-15760,754,3,195.0,1,1,1,3,Low Value
JK-15205,62,13,4427.142,3,3,4,10,High Value
JK-15325,288,4,383.812,1,1,1,3,Low Value
JK-15370,45,17,2709.632,3,4,3,10,High Value
JK-15625,62,12,3760.028,3,3,3,9,Medium Value
JK-15640,181,12,4760.434,2,3,4,9,Medium Value
JK-15730,85,20,4867.2,2,4,4,10,High Value
JK-16090,29,9,3747.668,4,2,3,9,Medium Value
JK-16120,118,17,2932.484,2,4,3,9,Medium Value
JL-15130,9,12,1214.956,4,3,2,9,Medium Value
JL-15175,7,7,1571.523,4,1,2,7,Medium Value
JL-15235,120,10,2203.7,2,2,2,6,Low Value
JL-15505,50,17,3173.874,3,4,3,10,High Value
JL-15835,22,34,9799.923,4,4,4,12,High Value
JL-15850,615,11,2725.256,1,2,3,6,Low Value
JM-15250,38,19,3159.1220000000003,3,4,3,10,High Value
JM-15265,38,13,1804.146,3,3,2,8,Medium Value
JM-15535,103,10,1733.443,2,2,2,6,Low Value
JM-15580,1,7,303.948,4,1,1,6,Low Value
JM-15655,9,12,864.947,4,3,1,8,Medium Value
JM-15865,110,13,7625.076000000001,2,3,4,9,Medium Value
JM-16195,58,19,2833.9260000000004,3,4,3,10,High Value
JO-15145,58,13,3254.949,3,3,3,9,Medium Value
